,area,month,state,aqi_value
2587,Dewas,2022-08,Madhya Pradesh,52.724137931034484
2588,Dewas,2022-09,Madhya Pradesh,62.36666666666667
2589,Dewas,2022-10,Madhya Pradesh,108.27586206896552
2590,Dewas,2022-11,Madhya Pradesh,141.8
2591,Dewas,2022-12,Madhya Pradesh,124.63333333333334
2592,Dewas,2023-01,Madhya Pradesh,141.86666666666667
2593,Dewas,2023-02,Madhya Pradesh,107.8695652173913
2594,Dewas,2023-03,Madhya Pradesh,94.52380952380952
2595,Dewas,2023-04,Madhya Pradesh,113.66666666666667
2596,Dewas,2023-05,Madhya Pradesh,105.53333333333333
2597,Dewas,2023-06,Madhya Pradesh,99.29629629629629
2598,Dewas,2023-07,Madhya Pradesh,90.7
2599,Dewas,2023-08,Madhya Pradesh,49.4
2600,Dewas,2023-09,Madhya Pradesh,55.4
2601,Dewas,2023-10,Madhya Pradesh,110.19354838709677
2602,Dewas,2023-11,Madhya Pradesh,166.4
2603,Dewas,2023-12,Madhya Pradesh,139.5483870967742
2604,Dewas,2024-01,Madhya Pradesh,131.66666666666666
2605,Dewas,2024-02,Madhya Pradesh,118.73913043478261
2606,Dewas,2024-03,Madhya Pradesh,107.24137931034483
2607,Dewas,2024-04,Madhya Pradesh,89.78571428571429
2608,Dewas,2024-05,Madhya Pradesh,55.535714285714285
2609,Dewas,2024-06,Madhya Pradesh,49.18518518518518
2610,Dewas,2024-07,Madhya Pradesh,50.03846153846154
2611,Dewas,2024-08,Madhya Pradesh,65.11538461538461
2612,Dewas,2024-09,Madhya Pradesh,77.5
2613,Dewas,2024-10,Madhya Pradesh,116.46428571428571
2614,Dewas,2024-11,Madhya Pradesh,152.63333333333333
2615,Dewas,2024-12,Madhya Pradesh,147.86206896551724
2616,Dewas,2025-01,Madhya Pradesh,127.46666666666667
2617,Dewas,2025-02,Madhya Pradesh,113.07142857142857
2618,Dewas,2025-03,Madhya Pradesh,107.41935483870968
2619,Dewas,2025-04,Madhya Pradesh,127.63333333333334
2620,Dhanbad,2023-02,Jharkhand,236.0
2621,Dhanbad,2023-03,Jharkhand,184.59259259259258
2622,Dhanbad,2023-04,Jharkhand,220.6818181818182
2623,Dhanbad,2023-05,Jharkhand,184.1
2624,Dhanbad,2023-06,Jharkhand,165.07692307692307
2625,Dhanbad,2023-07,Jharkhand,185.28571428571428
2626,Dhanbad,2023-08,Jharkhand,173.7
2627,Dhanbad,2023-09,Jharkhand,121.17647058823529
2628,Dhanbad,2023-10,Jharkhand,186.04545454545453
2629,Dhanbad,2023-11,Jharkhand,243.58333333333334
2630,Dhanbad,2023-12,Jharkhand,166.0
2631,Dhanbad,2024-01,Jharkhand,168.1
2632,Dhanbad,2024-02,Jharkhand,151.77777777777777
2633,Dhanbad,2024-03,Jharkhand,143.2
2634,Dhanbad,2024-04,Jharkhand,185.93103448275863
2635,Dhanbad,2024-05,Jharkhand,141.33333333333334
2636,Dhanbad,2024-06,Jharkhand,209.04761904761904
2637,Dhanbad,2024-07,Jharkhand,127.03448275862068
2638,Dhanbad,2024-08,Jharkhand,131.66666666666666
2639,Dhanbad,2024-11,Jharkhand,267.1666666666667
2640,Dhanbad,2024-12,Jharkhand,176.86666666666667
2641,Dhanbad,2025-01,Jharkhand,234.37037037037038
2642,Dhanbad,2025-02,Jharkhand,146.92592592592592
2643,Dhanbad,2025-03,Jharkhand,145.88888888888889
2644,Dhanbad,2025-04,Jharkhand,146.0
2645,Dharuhera,2022-04,Haryana,294.05
2646,Dharuhera,2022-05,Haryana,279.6111111111111
2647,Dharuhera,2022-06,Haryana,197.55
2648,Dharuhera,2022-07,Haryana,89.55555555555556
2649,Dharuhera,2022-08,Haryana,96.5
2650,Dharuhera,2022-09,Haryana,137.1875
2651,Dharuhera,2022-10,Haryana,226.96296296296296
2652,Dharuhera,2022-11,Haryana,291.6521739130435
2653,Dharuhera,2022-12,Haryana,267.9259259259259
2654,Dharuhera,2023-01,Haryana,287.4
2655,Dharuhera,2023-02,Haryana,237.04
2656,Dharuhera,2023-03,Haryana,177.48
2657,Dharuhera,2023-04,Haryana,205.03846153846155
2658,Dharuhera,2023-05,Haryana,149.16666666666666
2659,Dharuhera,2023-06,Haryana,157.78947368421052
2660,Dharuhera,2023-07,Haryana,69.21052631578948
2661,Dharuhera,2023-08,Haryana,109.6923076923077
2662,Dharuhera,2023-09,Haryana,97.55
2663,Dharuhera,2023-10,Haryana,181.72413793103448
2664,Dharuhera,2023-11,Haryana,297.1666666666667
2665,Dharuhera,2023-12,Haryana,212.35714285714286
2666,Dharuhera,2024-01,Haryana,206.86206896551724
2667,Dharuhera,2024-02,Haryana,186.0
2668,Dharuhera,2024-03,Haryana,170.76923076923077
2669,Dharuhera,2024-04,Haryana,192.29166666666666
2670,Dharuhera,2024-05,Haryana,192.6086956521739
2671,Dharuhera,2024-06,Haryana,130.61904761904762
2672,Dharuhera,2024-07,Haryana,100.83333333333333
2673,Dharuhera,2024-08,Haryana,63.35
2674,Dharuhera,2024-09,Haryana,61.8421052631579
2675,Dharuhera,2024-10,Haryana,150.6153846153846
2676,Dharuhera,2024-11,Haryana,258.18518518518516
2677,Dharuhera,2024-12,Haryana,136.6
2678,Dharwad,2022-11,Karnataka,136.57142857142858
2679,Dharwad,2022-12,Karnataka,164.0
2680,Dharwad,2023-03,Karnataka,78.71428571428571
2681,Dharwad,2023-04,Karnataka,90.18518518518519
2682,Dharwad,2023-05,Karnataka,66.08695652173913
2683,Dharwad,2023-06,Karnataka,69.0
2684,Dharwad,2023-07,Karnataka,41.22222222222222
2685,Dharwad,2023-08,Karnataka,75.125
2686,Dharwad,2023-09,Karnataka,58.31818181818182
2687,Dharwad,2023-10,Karnataka,76.0
2688,Dharwad,2023-11,Karnataka,78.48275862068965
2689,Dharwad,2023-12,Karnataka,78.32142857142857
2690,Dharwad,2024-01,Karnataka,88.86666666666666
2691,Dharwad,2024-02,Karnataka,95.07142857142857
2692,Dharwad,2024-03,Karnataka,69.4
2693,Dharwad,2024-04,Karnataka,90.89285714285714
2694,Dharwad,2024-05,Karnataka,81.58620689655173
2695,Dharwad,2024-06,Karnataka,55.03846153846154
2696,Dharwad,2024-07,Karnataka,74.85185185185185
2697,Dharwad,2024-08,Karnataka,56.541666666666664
2698,Dharwad,2024-09,Karnataka,56.69565217391305
2699,Dharwad,2024-10,Karnataka,62.44444444444444
2700,Dharwad,2024-11,Karnataka,83.82142857142857
2701,Dharwad,2024-12,Karnataka,70.5
2702,Dharwad,2025-01,Karnataka,67.27586206896552
2703,Dharwad,2025-02,Karnataka,66.0
2704,Dharwad,2025-03,Karnataka,68.10344827586206
2705,Dharwad,2025-04,Karnataka,68.95833333333333
2706,Dholpur,2023-03,Rajasthan,115.92857142857143
2707,Dholpur,2023-04,Rajasthan,97.95652173913044
2708,Dholpur,2023-05,Rajasthan,101.16666666666667
2709,Dholpur,2023-06,Rajasthan,107.21052631578948
2710,Dholpur,2023-07,Rajasthan,71.76190476190476
2711,Dholpur,2023-08,Rajasthan,71.16666666666667
2712,Dholpur,2023-09,Rajasthan,78.57142857142857
2713,Dholpur,2023-10,Rajasthan,133.3125
2714,Dholpur,2023-11,Rajasthan,361.8695652173913
2715,Dholpur,2023-12,Rajasthan,267.03333333333336
2716,Dholpur,2024-01,Rajasthan,256.1666666666667
2717,Dholpur,2024-02,Rajasthan,189.70833333333334
2718,Dholpur,2024-03,Rajasthan,180.8846153846154
2719,Dholpur,2024-04,Rajasthan,168.53846153846155
2720,Dholpur,2024-05,Rajasthan,179.42307692307693
2721,Dholpur,2024-06,Rajasthan,145.37037037037038
2722,Dholpur,2024-07,Rajasthan,126.38095238095238
2723,Dholpur,2024-08,Rajasthan,55.869565217391305
2724,Dholpur,2024-09,Rajasthan,61.90909090909091
2725,Dholpur,2024-10,Rajasthan,92.48387096774194
2726,Dholpur,2024-11,Rajasthan,147.64285714285714
2727,Dholpur,2024-12,Rajasthan,139.24137931034483
2728,Dholpur,2025-01,Rajasthan,129.4
2729,Dholpur,2025-02,Rajasthan,125.29629629629629
2730,Dholpur,2025-03,Rajasthan,102.93333333333334
2731,Dholpur,2025-04,Rajasthan,112.41379310344827
2732,Dhule,2023-06,Maharashtra,85.0909090909091
2733,Dhule,2023-07,Maharashtra,41.0
2734,Dhule,2023-08,Maharashtra,69.5925925925926
2735,Dhule,2023-09,Maharashtra,63.5
2736,Dhule,2023-10,Maharashtra,128.92857142857142
2737,Dhule,2023-11,Maharashtra,187.65384615384616
2738,Dhule,2023-12,Maharashtra,164.28571428571428
2739,Dhule,2024-01,Maharashtra,136.83870967741936
2740,Dhule,2024-02,Maharashtra,132.46153846153845
2741,Dhule,2024-03,Maharashtra,131.17241379310346
2742,Dhule,2024-04,Maharashtra,118.51851851851852
